,scientificName,decimalLatitude,decimalLongitude
0,Warileya rotundipennis,5.8137,-75.8225
3,Warileya rotundipennis,5.81,-75.82
6,Brumptomyia avellari,-14.858692000000001,-44.229808
7,Brumptomyia avellari,-14.863325,-44.231039
8,Brumptomyia avellari,-14.845041,-44.218608
13,Brumptomyia avellari,-14.845329000000001,-44.218575
14,Brumptomyia beaupertuyi,5.8137,-75.7995
15,Brumptomyia beaupertuyi,5.81,-75.8
16,Brumptomyia brumpti,0.7780560000000001,-51.9436
17,Brumptomyia brumpti,-20.1389,-44.8839
18,Psychodopygus wellcomei,-20.1389,-44.8839
19,Brumptomyia brumpti,-22.0431,-45.6992
20,Brumptomyia carvalheiroi,-20.035277999999998,-43.494167
21,Brumptomyia cunhai,-20.419444,-41.386944
22,Brumptomyia cunhai,-19.228889000000002,-40.758611
30,Brumptomyia cunhai,-19.225,-40.8514
34,Brumptomyia cunhai,-19.227999999999998,-40.758
56,Brumptomyia cunhai,-19.9208,-43.9378
57,Brumptomyia galindoi,18.5345,-88.3353
62,Brumptomyia galindoi,10.7637,-85.333
63,Brumptomyia galindoi,19.425278,-96.791389
64,Brumptomyia galindoi,18.567222,-88.25694399999999
116,Brumptomyia galindoi,18.582056,-88.30552800000001
123,Brumptomyia galindoi,18.573860999999997,-88.255611
152,Brumptomyia galindoi,18.575694,-88.269194
195,Brumptomyia galindoi,18.509833,-88.348972
248,Brumptomyia galindoi,18.559389000000003,-88.27533299999999
250,Brumptomyia galindoi,18.506,-88.366556
260,Brumptomyia galindoi,18.486333,-88.353861
274,Brumptomyia galindoi,18.551722,-88.320667
275,Brumptomyia galindoi,18.50475,-88.349722
282,Brumptomyia galindoi,18.558111,-88.28569399999999
283,Brumptomyia galindoi,18.549222,-88.316389
284,Brumptomyia galindoi,18.552639000000003,-88.399333
286,Brumptomyia galindoi,18.576472,-88.39327800000001
287,Brumptomyia galindoi,18.533333,-90.474722
288,Brumptomyia galindoi,20.549722,-89.83
289,Brumptomyia galindoi,19.869722,-89.21722199999999
300,Brumptomyia galindoi,17.977778,-89.353889
322,Brumptomyia galindoi,19.472222,-88.125833
556,Brumptomyia guimaraesi,-32.340553,-58.095276
557,Brumptomyia guimaraesi,6.37,-77.37
558,Brumptomyia guimaraesi,4.99,-75.6
560,Brumptomyia guimaraesi,-18.5789,-46.5181
562,Brumptomyia hamata,18.552639000000003,-88.399333
563,Brumptomyia hamata,18.533333,-90.474722
568,Brumptomyia hamata,17.977778,-89.353889
572,Brumptomyia hamata,19.472222,-88.125833
573,Brumptomyia hamata,19.869722,-89.21722199999999
680,Brumptomyia leopoldoi,-19.0111,-57.87
684,Brumptomyia mesai,18.5345,-88.3353
686,Brumptomyia mesai,19.425278,-96.791389
687,Brumptomyia nitzulescui,-18.972,-41.028999999999996
688,Brumptomyia nitzulescui,-19.225,-40.8514
690,Brumptomyia nitzulescui,-20.3633,-40.6592
692,Brumptomyia nitzulescui,-20.0406,-40.7461
693,Brumptomyia nitzulescui,-19.0561,-41.0167
694,Brumptomyia nitzulescui,-19.980999999999998,-40.669000000000004
695,Brumptomyia nitzulescui,-20.335,-40.667
700,Brumptomyia nitzulescui,-20.325,-40.818000000000005
711,Brumptomyia ortizi,-20.1006,-40.5297
713,Brumptomyia ortizi,-25.095,-50.1619
714,Brumptomyia pentacantha,0.7780560000000001,-51.9436
716,Brumptomyia pintoi,-18.421614,-49.215522
717,Brumptomyia travassosi,4.91,-52.3
718,Brumptomyia troglodytes,-20.004031,-43.951793
720,Dampfomyia (Coromyia) beltrani,18.5345,-88.3353
723,Dampfomyia (Coromyia) deleoni,19.7364,-88.9565
727,Evandromyia (Aldamyia) lenti,-20.1389,-44.8839
728,Evandromyia (Aldamyia) lenti,-19.225,-40.8514
729,Evandromyia (Aldamyia) lenti,-14.84441,-44.222165999999994
730,Evandromyia (Aldamyia) lenti,-14.849817000000002,-44.221783
731,Evandromyia (Aldamyia) lenti,-14.858692000000001,-44.229808
732,Evandromyia (Aldamyia) lenti,-17.5981,-44.7308
739,Evandromyia (Aldamyia) lenti,-21.8425,-43.7931
740,Evandromyia (Aldamyia) lenti,-14.850597,-44.230767
741,Evandromyia (Aldamyia) lenti,-14.845041,-44.218608
743,Evandromyia (Aldamyia) lenti,-14.863325,-44.231039
