species,genus,amazonensis,mexicana,venezuelensis,waltoni,braziliensis,guyanensis,lainsoni,lindenbergi,naiffi,panamensis,peruviana,shawi,enrietti 
Bichromomyia flaviscutellata,Bichromomyia,2,1,0,0,0,1,0,0,0,1,0,0,0
Bichromomyia olmeca bicolor,Bichromomyia,0,0,1,0,0,0,1,0,0,0,0,0,0
Bichromomyia olmeca nociva,Bichromomyia,2,0,0,0,0,0,0,0,0,0,0,0,0
Bichromomyia olmeca olmeca,Bichromomyia,0,2,0,0,0,0,0,0,0,0,0,0,0
Bichromomyia reducta,Bichromomyia,2,0,0,0,0,0,0,0,0,0,0,0,0
Dampfomyia (Dampfomyia) anthophora,Dampfomyia,0,1,0,0,0,0,0,0,0,0,0,0,0
Evandromyia (Aldamyia) apurinan,Evandromyia,0,0,0,0,1,0,0,0,0,0,0,0,0
Evandromyia (Aldamyia) lenti,Evandromyia,0,0,0,0,1,0,0,0,0,0,0,0,0
Evandromyia edwardsi,Evandromyia,0,0,0,0,1,0,0,0,0,0,0,0,0
Lutzomyia (Helcocyrtomyia) ayacuchensis,Lutzomyia,0,2,0,0,0,2,0,0,0,0,1,0,0
Lutzomyia (Helcocyrtomyia) hartmanni,Lutzomyia,0,0,0,0,0,0,0,0,0,2,0,0,0
Lutzomyia (Helcocyrtomyia) noguchii,Lutzomyia,0,0,0,0,0,0,0,0,0,0,1,0,0
Lutzomyia (Helcocyrtomyia) peruensis,Lutzomyia,0,0,0,0,0,0,0,0,0,0,2,0,0
Lutzomyia (Helcocyrtomyia) pescei,Lutzomyia,0,0,0,0,1,0,0,0,0,0,0,0,0
Lutzomyia (Helcocyrtomyia) sanguinaria,Lutzomyia,0,0,0,0,0,0,0,0,0,1,0,0,0
Lutzomyia (Helcocyrtomyia) tejadai,Lutzomyia,0,0,0,0,1,0,0,0,0,0,1,0,0
Lutzomyia (Lutzomyia) lichyi,Lutzomyia,0,0,1,0,1,0,0,0,0,0,0,0,0
Lutzomyia (Lutzomyia) longipalpis,Lutzomyia,2,1,0,0,1,0,0,0,0,0,0,0,0
Lutzomyia (Tricholateralis) cruciata,Lutzomyia,0,1,0,0,1,0,0,0,0,1,0,0,0
Lutzomyia (Tricholateralis) diabolica,Lutzomyia,1,1,0,0,0,0,0,0,0,0,0,0,0
Lutzomyia (Tricholateralis) gomezi,Lutzomyia,0,1,0,0,2,0,0,0,1,2,0,2,1
Martinsmyia gasparviannai,Martinsmyia,0,0,0,0,0,0,0,0,0,0,0,0,1
Martinsmyia minasensis,Martinsmyia,1,0,0,0,1,1,0,0,0,0,0,0,0
Micropygomyia (Sauromyia) capixaba,Micropygomyia,0,0,0,0,1,0,0,0,0,0,0,0,0
Micropygomyia (Sauromyia) ferreirana,Micropygomyia,0,0,0,0,1,0,0,0,0,0,0,0,0
Micropygomyia (Sauromyia) peresi,Micropygomyia,0,0,0,0,1,0,0,0,0,0,0,0,0
Micropygomyia (Sauromyia) trinidadensis,Micropygomyia,0,0,0,0,1,0,0,0,0,0,0,0,0
Micropygomyia (Sauromyia) villelai,Micropygomyia,0,0,0,0,1,0,0,0,0,0,0,0,0
Migonemyia (Migonemyia) migonei,Migonemyia,0,1,0,0,2,1,0,0,0,1,0,0,0
Nyssomyia anduzei,Nyssomyia,0,0,0,0,1,2,0,0,2,0,0,0,0
Nyssomyia antunesi,Nyssomyia,0,0,0,0,0,0,0,1,0,0,0,0,0
Nyssomyia intermedia,Nyssomyia,1,0,0,0,2,0,0,0,0,0,0,0,0
Nyssomyia neivai,Nyssomyia,0,0,0,0,2,0,0,0,0,0,0,0,0
