species,hs.canopy,hs.floor,b.tsmbf,b.tsdbf,b.tsgss,b.mangrove,b.fgs,b.dxs,b.tscf,b.tgss,b.tcforest,b.tbmforest,b.montane,mh.flfs,mh.ab,mh.bwa,mh.tttr,mh.th,mh.tt,mh.cr,mh.ca,mh.fwsl,mh.ma,mh.ada,mh.oihd,wild,semi.domestic,domestic,bites.man,bites.mammals,A3_wingl,no.lat.teeth,wing.length,wingl_wingw,temp,temp.range,flii,canopy,ghm,evi,tribe_Phlebotomini,subtribe_Lutzomyiina,subtribe_Psychodopygina,genus_Bichromomyia,genus_Brumptomyia,genus_Dampfomyia,genus_Deanemyia,genus_Evandromyia,genus_Expapillata,genus_Hertigia,genus_Lutzomyia,genus_Martinsmyia,genus_Micropygomyia,genus_Migonemyia,genus_Nyssomyia,genus_Oligodontomyia,genus_Pintomyia,genus_Pressatia,genus_Psathyromyia,genus_Psychodopygus,genus_Sciopemyia,genus_Trichophoromyia,genus_Trichopygomyia,genus_Viannamyia,genus_Warileya,maxshape_spear,hypoteeth_rough,hypoteeth_smooth,hypoteeth_spiculate,log.citations,log.labrum.length,log.no.ven.teeth,log.no.cib.teeth,log.rainfall,log.wind.speed,log.tree.cover,log.crops.cover,log.grass.cover,log.urban.cover,log.water.perm.cover,log.water.seas.cover,log.ecoregion.breadth,leish
Hertigia hertigi,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,22.94912109,14.20962524,5986.0,34.0,0.436974943,5109.343478,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995003330834,,,,5.42984751000862,-0.977518552766079,4.60518018593809,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Warileya euniceae,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,15.54338989,14.38858032,9205.0,28.0,0.179142773,3973.847826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0009995003330834,,,,5.81231493148548,-0.918330588467692,4.51525641931929,-6.90775527898214,1.60963789243677,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.0009995003330834,0.0
Warileya fourgassiensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0009995003330834,,,,,,,,,,,,,0.0
Warileya leponti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0009995003330834,,,,,,,,,,,,,0.0
Warileya lumbrerasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.693647055601596,-0.820526109889776,,,,,,,,,,,,0.0
Warileya nigrosaccula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,1.48,2.6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2.70811686554675,-1.60445037092306,,,,,,,,,,,,0.0
Warileya phlebotomanica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,3.4,2.6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.693647055601596,-0.991553216374702,3.68890445380144,,,,,,,,,,,0.0
Warileya rotundipennis,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,,1.0,1.0,,0.13,8.0,2.18,2.5,16.36003011,12.96442668,7740.0,24.33333333,0.316741228,4367.115942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.3865443298751,-1.10563690360507,3.40123071443995,,6.30191906859597,-0.677441922301792,4.23315436058241,0.0337570964758647,2.949740689703,-6.90775527898214,-6.90775527898214,-6.90775527898214,0.693647055601596,0.0
Warileya yungasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.693647055601596,,,,,,,,,,,,,0.0
Brumptomyia angelae,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0009995003330834,,,,,,,,,,,,,0.0
