,species,tribe,subtribe,genus,Argentina,Belize,Bolivia,Brazil,Canada,CaymanIslands,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,French Guiana,Guadeloupe,Guatemala,Grenada,Guyana,Haiti,Honduras,Jamaica,Martinica,Mexico,Nicaragua,Panama,Paraguay,PuertoRico,Peru,Suriname,TrinidadTobago,Uruguay,USA,Venezuela,VirginIslands,act.di,act.noct,act.crep,hs.canopy,hs.floor,b.tsmbf,b.tsdbf,b.tsgss,b.mangrove,b.fgs,b.dxs,b.tscf,b.tgss,b.tcforest,b.tbmforest,b.montane,mh.flfs,mh.ab,mh.bwa,mh.tttr,mh.th,mh.tt,mh.cr,mh.ca,mh.fwsl,mh.ma,mh.ada,mh.oihd,exta,peri,intra,wild,semi.domestic,domestic,bites.man,bites.mammals,order.notes,seas.wint,seas.summ,lifespan,gonotrophic,cl.size,citations,labrum.length,Labrumepipharynx.length,labruml_wingl,A3_wingl,no.lat.teeth,no.ven.teeth,no.cib.teeth,dental.depth,wing.length,wingl_wingw,wing.width,A3,temp,temp.range,temp.var,rainfall,elevation,flii,wind.speed,canopy,ghm,tree.cover,crops.cover,grass.cover,shrub.cover,urban.cover,water.perm.cover,water.seas.cover,evi,ecoregion.breadth,synarthropy,max.shape,hypo.teeth
0,Hertigia hertigi,Hertigiini,Hertigiina,Hertigia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,22.94912109,14.20962524,0.554455008,228.1134576,419,5986,0.37524357,34,0.436974943,100,0,0,0,0,0,0,5109.343478,1,,,
1,Warileya euniceae,Hertigiini,Hertigiina,Warileya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,15.54338989,14.38858032,1.635533848,334.3913257,1897,9205,0.398184889,28,0.179142773,91.4,0,5,3.6,0,0,0,3973.847826,1,,sabre,spiculate
2,Warileya fourgassiensis,Hertigiini,Hertigiina,Warileya,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
3,Warileya leponti,Hertigiini,Hertigiina,Warileya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
4,Warileya lumbrerasi,Hertigiini,Hertigiina,Warileya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4392,,,,,,,,,,1.1143,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
5,Warileya nigrosaccula,Hertigiini,Hertigiina,Warileya,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.2,,0.14,0.14,,,,,1.48,2.6,,,,,,,,,,,,,,,,,,,,,,sabre,smooth
6,Warileya phlebotomanica,Hertigiini,Hertigiina,Warileya,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.37,,0.11,0.1,0,40,,0.1,3.4,2.6,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
7,Warileya rotundipennis,Hertigiini,Hertigiina,Warileya,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,1,1,,1,1,,man,,,,,,4,0.33,,0.13,0.13,8,30,,0.11,2.18,2.5,,,16.36003011,12.96442668,0.268469053,545.6169844,2108.333333,7740,0.506914617,24.33333333,0.316741228,68.93333333,1.033333333,19.1,10.86666667,0,0,0,4367.115942,2,94,sabre,spiculate
8,Warileya yungasi,Hertigiini,Hertigiina,Warileya,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
9,Brumptomyia angelae,Phlebotomini,Brumptomyiina,Brumptomyia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,1,armadillo,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sabre,spiculate
